Country,Average Temp,Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),co2 Emissions (metric tons per capita),Latitude,Longitude,2020 Population
Algeria,19.45521978021977,0.16,75.85,0.0,0.84,1.0953188,16259.053,171250.0,28.033886,1.6596259999999998,43451666
Angola,25.890109890109876,54.69,4.38,0.0,11.02,71.55844,3667.4238,25209.99908,-11.202691999999999,17.873887,33428485
Antigua and Barbuda,26.725274725274737,0.91,0.33,0.0,0.01,2.9411764,33027.516,519.9999809,17.060816,-61.796428000000006,92664
Argentina,17.916483516483495,10.74,90.56,7.97,34.63,31.991589,20725.168,168100.0061,-38.416097,-63.616671999999994,45036032
Austria,14.144780219780227,33.77,16.22,0.0,54.64,77.10979499999999,48314.258,64769.99664,47.516231,14.550072,8907777
Azerbaijan,15.443131868131879,1.62,22.91,0.0,1.69,6.869919,17546.781000000003,35509.99832,40.143105,47.576927000000005,10284951
Bahrain,27.92032967032964,0.0,31.43,0.0,0.01,0.031806614,155398.47,33259.99832,26.0667,50.5577,1477469
Bangladesh,26.242032967032973,24.75,78.37,0.0,1.14,1.4337819,2916.3176,90739.99786,23.684994,90.35633100000001,167420951
Barbados,27.508241758241752,4.31,0.98,0.0,0.04,3.9215686,25172.027000000002,1250.0,13.193887,-59.543198,280693
Belarus,9.339285714285714,7.83,36.74,0.0,0.94,2.4946919999999997,31923.436,57669.998170000006,53.709807,27.953389,9633740
Belgium,11.756593406593414,10.21,29.32,43.52,19.47,68.237465,64152.26,93010.00214,50.503887,4.469936,11561717
Benin,27.6239010989011,46.47,0.19,0.0,0.01,5.0,2416.1620000000003,7300.000191,9.30769,2.315834,12643123
Burkina Faso,30.486538461538462,64.85,1.51,0.0,0.21,12.209302000000001,946.95734,5000.0,12.238333,-1.561593,21522626
Cambodia,28.71401098901095,53.36,3.94,0.0,4.51,53.372787,4069.4607,16180.00031,12.565679,104.990963,16396860
Canada,5.912087912087911,22.11,110.65,95.47,421.8,82.378334,107980.76,580210.022,56.130366,-106.34677099999999,37888705
Central African Republic,28.255769230769246,91.26,0.0,0.0,0.15,100.0,299.18008,239.9999946,6.611111,20.939444,5343020
Chad,30.2236263736264,77.79,0.3,0.0,0.01,3.2258065,458.18085,2250.0,15.454166,18.732207,16644701
China,13.597527472527478,14.45,5098.22,348.7,2014.57,31.672895,28277.445,10707219.73,35.86166,104.195397,1424929781
Comoros,26.932417582417596,53.43,0.1,0.0,0.0,0.0,1685.7296,319.99999280000003,-11.6455,43.3333,806166
Croatia,15.037087912087912,31.6,4.31,0.0,8.35,65.95577,23200.729,16520.00046,45.1,15.2,4096868
Cuba,24.76418732782367,21.54,16.54,0.0,2.99,15.309779,9606.213,25909.99985,21.521757,-77.78116700000001,11300698
Denmark,9.909090909090908,37.52,6.44,0.0,23.07,78.17689,33139.277,29700.000760000003,56.26392,9.501785,5825641
Djibouti,30.737912087912107,27.92,0.06,0.0,0.0,0.0,2848.7866,419.9999869,11.825138,42.590275,1090156
Dominican Republic,26.965384615384618,13.98,16.91,0.0,2.36,12.247015,11098.332,27229.999539999997,18.735692999999998,-70.162651,10999664
El Salvador,27.380769230769246,19.39,1.84,0.0,4.15,69.28214,7271.5205,7800.000191,13.794185,-88.89653,6292731
Equatorial Guinea,26.685439560439566,6.58,0.95,0.0,0.45,32.142857,17644.693,5349.999905,1.6508009999999997,10.267895,1596049
Estonia,7.326648351648353,31.29,5.47,0.0,2.14,28.120895,47295.335999999996,10180.00031,58.595271999999994,25.013607,1329444
Fiji,24.846703296703268,26.48,0.42,0.0,0.71,62.83186,9417.632,1629.999995,-17.713371,178.065032,920422
Finland,7.070604395604395,45.76,12.63,23.87,31.88,81.52969,59219.418,40709.99908,61.92411,25.748151,5529468
France,13.398351648351653,15.53,53.5,399.01,113.21,90.54302,42326.785,300519.989,46.227638,2.213749,64480053
Gabon,26.68104395604397,89.88,1.25,0.0,1.01,44.690265999999994,7427.6616,5250.0,-0.803689,11.609444,2292573
Germany,11.188186813186817,17.17,284.09,75.07,240.33,52.611385,44467.746,657400.0244,51.165690999999995,10.451526,83328988
