Country,Average Temp (2019),Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),co2 Emissions (metric tons per capita),Latitude,Longitude
Algeria,19.4413698630137,0.16,75.85,0.0,0.84,1.0953188,16259.053,171250.0,28.033886,1.659626
Angola,25.894794520547947,54.69,4.38,0.0,11.02,71.55844,3667.4238,25209.99908,-11.202692,17.873887
Antigua and Barbuda,26.7186301369863,0.91,0.33,0.0,0.01,2.9411764,33027.516,519.9999809,17.060816,-61.796428
Argentina,17.9386301369863,10.74,90.56,7.97,34.63,31.991589,20725.168,168100.0061,-38.416097,-63.616672
Austria,14.127123287671232,33.77,16.22,0.0,54.64,77.109795,48314.258,64769.99664,47.516231,14.550072
Azerbaijan,15.416164383561643,1.62,22.91,0.0,1.69,6.869919,17546.781,35509.99832,40.143105,47.576927
Bahrain,27.9,0.0,31.43,0.0,0.01,0.031806614,155398.47,33259.99832,26.0667,50.5577
Bangladesh,26.225753424657533,24.75,78.37,0.0,1.14,1.4337819,2916.3176,90739.99786,23.684994,90.356331
Barbados,27.50328767123288,4.31,0.98,0.0,0.04,3.9215686,25172.027,1250.0,13.193887,-59.543198
Belarus,9.316438356164383,7.83,36.74,0.0,0.94,2.494692,31923.436,57669.99817,53.709807,27.953389
Belgium,11.743013698630136,10.21,29.32,43.52,19.47,68.237465,64152.26,93010.00214,50.503887,4.469936
Benin,27.627397260273973,46.47,0.19,0.0,0.01,5.0,2416.162,7300.000191,9.30769,2.315834
Burkina Faso,30.475616438356166,64.85,1.51,0.0,0.21,12.209302,946.95734,5000.0,12.238333,-1.561593
Cambodia,28.704383561643837,53.36,3.94,0.0,4.51,53.372787,4069.4607,16180.00031,12.565679,104.990963
Canada,5.8742465753424655,22.11,110.65,95.47,421.8,82.378334,107980.76,580210.022,56.130366,-106.346771
Central African Republic,28.253698630136988,91.26,0.0,0.0,0.15,100.0,299.18008,239.9999946,6.611111,20.939444
Chad,30.207123287671234,77.79,0.3,0.0,0.01,3.2258065,458.18085,2250.0,15.454166,18.732207
China,13.545753424657534,14.45,5098.22,348.7,2014.57,31.672895,28277.445,10707219.73,35.86166,104.195397
Comoros,26.933698630136984,53.43,0.1,0.0,0.0,0.0,1685.7296,319.9999928,-11.6455,43.3333
Croatia,15.009041095890412,31.6,4.31,0.0,8.35,65.95577,23200.729,16520.00046,45.1,15.2
Cuba,24.760439560439558,21.54,16.54,0.0,2.99,15.309779,9606.213,25909.99985,21.521757,-77.781167
Denmark,9.899175824175824,37.52,6.44,0.0,23.07,78.17689,33139.277,29700.00076,56.26392,9.501785
Djibouti,30.726575342465754,27.92,0.06,0.0,0.0,0.0,2848.7866,419.9999869,11.825138,42.590275
Dominican Republic,26.96027397260274,13.98,16.91,0.0,2.36,12.247015,11098.332,27229.99954,18.735693,-70.162651
